date,score,oxygen_level,deep_sleep,hours,resting_heart_rate,efficiency
2024-08-28,63,97,16,6.617,46,88
2024-08-29,88,97,21,8.233,49,94
2024-08-30,58,97,22,5.6,52,88
2024-08-31,67,97,22,7.517,53,84
2024-09-01,62,98,21,6.033,52,86
2024-09-02,78,97,20,7.533,52,91
2024-09-03,77,98,26,7.667,49,91
2024-09-04,79,96,19,7.667,56,94
2024-09-05,79,96,23,8.233,56,90
2024-09-06,73,97,18,7.783,57,82
2024-09-07,61,97,22,6.6,45,85
2024-09-08,61,96,16,6.383,53,78
2024-09-09,65,97,19,7.033,50,88
2024-09-10,65,96,21,6.667,49,84
2024-09-11,68,97,21,7.383,51,85
2024-09-12,66,98,17,7.3,49,84
2024-09-13,68,97,18,7.35,52,89
2024-09-14,67,96,18,6.433,52,87
2024-09-15,88,97,15,9.15,50,92
2024-09-16,66,96,20,6.567,51,83
2024-09-17,80,97,30,7.3,48,89
2024-09-18,78,98,24,7.117,52,87
2024-09-19,68,97,21,7.283,52,83
2024-09-20,64,96,16,7.3,60,84
2024-09-21,60,97,17,7.017,65,76
2024-09-22,70,97,23,7.8,57,89
2024-09-23,77,97,26,7.267,56,90
2024-08-24,75,97,20,7.217,54,92
2024-09-25,69,97,18,7.183,63,88

